Category,Transaction Type,Standard Template,Sample Live Text String
Bank Account Transactions,Account Debit,"Dear Customer, Rs.[Amount] debited from A/c [Account No] on [Date] by [Mode/Info]. Avail Bal: Rs.[Balance].","Dear Customer, Rs.46,000.00 debited from A/c XX126 on 15-08-2026 by IMPS Ref XXX410XX. Avail Bal: Rs.2,08,505.00."
Bank Account Transactions,Account Credit,Your A/c [Account No] credited with Rs.[Amount] on [Date] by [Source/Ref]. Available bal: Rs.[Balance].,"Your A/c XX6791 credited with Rs.15,160.00 on 15-08-2026 by IMPS Ref No. XX114. Available bal: Rs.2,23,665.00."
Credit Cards,Card Spend (Debit),Alert! Rs.[Amount] spent on Credit Card [Card No] at [Merchant] on [Date] [Time]. Limit Avbl: Rs.[Limit].,"Alert! Rs.2,499.00 spent on Credit Card XX4321 at AMAZON INDIA on 15-08-2026 16:30. Limit Avbl: Rs.85,600.00."
Credit Cards,Payment/Credit,Thank you. Payment of Rs.[Amount] received for Credit Card [Card No] on [Date]. Current Outstanding: Rs.[Amt].,"Thank you. Payment of Rs.5,000.00 received for Credit Card XX4321 on 15-08-2026. Current Outstanding: Rs.12,300.00."
Debit Cards,ATM/POS Debit,"Dear Customer, Rs.[Amount] debited from A/c [Account No] via Debit Card [Card No] at [Merchant/ATM] on [Date]. Bal: Rs.[Balance].","Dear Customer, Rs.10,000.00 debited from A/c XX892 via Debit Card XX99 at Vasai West ATM on 15-08-2026. Bal: Rs.14,230.00."
Debit Cards,Refund/Credit,Refund of Rs.[Amount] credited to A/c [Account No] via Debit Card [Card No] on [Date]. Bal: Rs.[Balance].,"Refund of Rs.450.00 credited to A/c XX892 via Debit Card XX99 on 15-08-2026. Bal: Rs.14,680.00."
UPI (Unified Payments Interface),UPI Sent (Debit),Money Debited: Rs.[Amount] to UPI ID [VPA/Name] from A/c [Account No] on [Date] [Time]. Ref No [Ref No].,Money Debited: Rs.450.00 to UPI ID merchant@paytm from A/c XX741 on 15-08-2026 16:32. Ref No 622814023145.
UPI (Unified Payments Interface),UPI Received (Credit),Money Credited: Rs.[Amount] from UPI ID [VPA/Name] to A/c [Account No] on [Date] [Time]. Ref No [Ref No].,"Money Credited: Rs.1,200.00 from UPI ID friend@okhdfc to A/c XX741 on 15-08-2026 16:35. Ref No 622814029988."
Digital Wallets,Wallet Spent,Rs.[Amount] paid from [Wallet Name] Wallet at [Merchant] on [Date]. Updated Wallet Bal: Rs.[Balance].,Rs.150.00 paid from Paytm Wallet at Local Grocery on 15-08-2026. Updated Wallet Bal: Rs.820.00.
Digital Wallets,Wallet Loaded,Rs.[Amount] added to [Wallet Name] Wallet via [Source] on [Date]. Updated Wallet Bal: Rs.[Balance].,"Rs.2,000.00 added to Amazon Pay Wallet via UPI on 15-08-2026. Updated Wallet Bal: Rs.2,450.00."
